epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.06106,2.16377,4.80771,2.10725,0.03544,0.33333,0.06335,0.01852,2.84641,5.57597,2.78023,1.429e-05,1.429e-05,1.429e-05
2,6.21818,2.09311,5.02977,2.14167,0.02874,0.33333,0.06502,0.01981,2.83998,5.77016,2.80767,4.21626e-05,4.21626e-05,4.21626e-05
3,7.31786,1.99896,4.39081,2.02125,0.04182,0.33333,0.07771,0.02395,2.77242,6.1357,2.73481,6.90921e-05,6.90921e-05,6.90921e-05
4,8.53559,2.23572,4.75276,2.28415,0.77596,0.33333,0.23807,0.09229,2.70198,4.01269,2.46296,9.50785e-05,9.50785e-05,9.50785e-05
5,9.77788,1.77607,3.40076,1.78305,0.55425,0.83333,0.66292,0.32207,1.83355,2.36267,1.66514,0.000120122,0.000120122,0.000120122
6,11.1278,1.54764,2.5893,1.58753,0.69312,0.97625,0.77389,0.56442,1.13095,2.62768,1.27076,0.000144222,0.000144222,0.000144222
7,12.5276,1.47821,2.31228,1.518,0.74797,0.94405,0.82917,0.56675,1.33859,3.40688,1.30123,0.000167379,0.000167379,0.000167379
8,13.9893,1.29141,2.18943,1.4643,0.96378,0.84575,0.995,0.72243,1.26606,2.44117,1.41618,0.000189593,0.000189593,0.000189593
9,15.5171,1.19768,1.92293,1.31807,0.94447,0.87935,0.995,0.72437,1.32484,2.7808,1.39677,0.000210863,0.000210863,0.000210863
10,17.6143,1.20084,1.67162,1.30881,0.87894,0.98166,0.995,0.68544,1.34179,2.67201,1.4148,0.000231191,0.000231191,0.000231191
11,19.5274,1.12545,1.55574,1.29297,0.91655,0.98883,0.995,0.72431,1.33859,2.11919,1.43113,0.000250575,0.000250575,0.000250575
12,20.9652,1.10418,1.37554,1.22695,0.93006,0.98727,0.995,0.71381,1.23698,1.93491,1.41882,0.000269016,0.000269016,0.000269016
13,22.2899,1.17118,1.37381,1.33939,0.95474,1,0.995,0.69739,1.27559,1.82188,1.52555,0.000286514,0.000286514,0.000286514
14,23.428,1.05497,1.3753,1.22222,0.94438,1,0.995,0.71365,1.27594,1.69287,1.50223,0.000303069,0.000303069,0.000303069
15,24.6151,1.05012,1.16633,1.18681,0.90879,1,0.995,0.64706,1.38673,1.53883,1.49189,0.000318681,0.000318681,0.000318681
16,25.946,1.04709,1.10143,1.22544,0.83835,0.98404,0.995,0.67998,1.49768,1.70073,1.57159,0.00033335,0.00033335,0.00033335
17,27.2098,0.91385,1.06474,1.1075,0.86401,0.93668,0.995,0.66363,1.52349,1.56837,1.64146,0.000347076,0.000347076,0.000347076
18,28.4036,1.10837,1.09095,1.32292,0.89644,0.88529,0.995,0.71349,1.25742,1.23368,1.57083,0.000359858,0.000359858,0.000359858
